─ 	0x80 	0x2500 	0xE2, 0x94, 0x80 	Box Drawings Light Horizontal
Х 	0xE8 	0x0425 	0xD0, 0xA5 	Cyrillic Capital Letter Ha
И 	0xE9 	0x0418 	0xD0, 0x98 	Cyrillic Capital Letter I
Й 	0xEA 	0x0419 	0xD0, 0x99 	Cyrillic Capital Letter Short I
К 	0xEB 	0x041A 	0xD0, 0x9A 	Cyrillic Capital Letter Ka
Л 	0xEC 	0x041B 	0xD0, 0x9B 	Cyrillic Capital Letter El
М 	0xED 	0x041C 	0xD0, 0x9C 	Cyrillic Capital Letter Em
Н 	0xEE 	0x041D 	0xD0, 0x9D 	Cyrillic Capital Letter En
О 	0xEF 	0x041E 	0xD0, 0x9E 	Cyrillic Capital Letter O
П 	0xF0 	0x041F 	0xD0, 0x9F 	Cyrillic Capital Letter Pe
Я 	0xF1 	0x042F 	0xD0, 0xAF 	Cyrillic Capital Letter Ya
Р 	0xF2 	0x0420 	0xD0, 0xA0 	Cyrillic Capital Letter Er
С 	0xF3 	0x0421 	0xD0, 0xA1 	Cyrillic Capital Letter Es
Т 	0xF4 	0x0422 	0xD0, 0xA2 	Cyrillic Capital Letter Te
У 	0xF5 	0x0423 	0xD0, 0xA3 	Cyrillic Capital Letter U
Ж 	0xF6 	0x0416 	0xD0, 0x96 	Cyrillic Capital Letter Zhe
В 	0xF7 	0x0412 	0xD0, 0x92 	Cyrillic Capital Letter Ve
Ь 	0xF8 	0x042C 	0xD0, 0xAC 	Cyrillic Capital Letter Soft Sign
Ы 	0xF9 	0x042B 	0xD0, 0xAB 	Cyrillic Capital Letter Yeru
З 	0xFA 	0x0417 	0xD0, 0x97 	Cyrillic Capital Letter Ze
Ш 	0xFB 	0x0428 	0xD0, 0xA8 	Cyrillic Capital Letter Sha
Э 	0xFC 	0x042D 	0xD0, 0xAD 	Cyrillic Capital Letter E
Щ 	0xFD 	0x0429 	0xD0, 0xA9 	Cyrillic Capital Letter Shcha
Ч 	0xFE 	0x0427 	0xD0, 0xA7 	Cyrillic Capital Letter Che
Ъ 	0xFF 	0x042A 	0xD0, 0xAA 	Cyrillic Capital Letter Hard Sign
